https://github.com/ajithkvp/CSC510-SEFall23-ProjectGroup56,,59
Item,Assessment,Evidence
Video,2,Video Is available and talks about advantages and available implementation
"Workload is spread over the whole team (one team member is often Xtimes more productive than the others...but nevertheless, here is a track record that everyone is contributing a lot)",1,"Many team memberes have sigle digit commits, while some have contributed 30+ committs"
Number of commits,3,Repo has 200+commits
Number of commits: by different people,2,The distribution of commits is not equal
Issues reports: there are many,2,There are 24 issues
Issues are being closed,3,Yes all issues are closed
DOI badge: exists,1,"Exists but one has ""invalid response type"""
"Docs: doco generated, format not ugly",2,
Docs: what: point descriptions of each class/function (in isolation),3,Detailed documentation of each feature 
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",3,"Explanation to use each feature availabe in Documentation, with commands"
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",2,Documents and video explanation are motivating
"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",3,Clear video explanation
Use of version control tools,1,Cannot see version control
Use of style checkers,3,"Have used Pep8, autoflake8 and flake8"
Use of code formatters.,3,"Have used Pep8, autoflake8 and flake8"
Use of syntax checkers.,3,"Have used Pep8, autoflake8 and flake8"
Use of code coverage,3,91% code coverage
Other automated analysis tools,2,
Test cases exist,3,"Yes, large number of test cases"
Test cases are routinely executed,0,
The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,2,"Has a file for contributions, but no specific instructions on installation and troubleshooting"
Issues are discussed before they are closed,1,"No discussion, just one or two comments"
Chat channel: exists,0,No 
Test cases: a large proportion of the issues related to handling failing cases,3,Comprehensive test cases
Evidence that the whole team is using the same tools: everyone can get to all tools and files,2,
"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",1,
"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",2,
Evidence that the members of the team are working across multiple places in the code base,2,
Short release cycles,1,Just two releases
,,
"Does your website and documentation provide a clear, high-level overview of your software?",Y,README.md file is very clear
Does your website and documentation clearly describe the type of user who should use your software?,Y,"Yes, can be found in video as well as README.md file"
Do you publish case studies to show how your software has been used by yourself and others?,N,
Is the name of your project/software unique?,N,Very common name (GITS)
Is your project/software name free from trademark violations?,Y,
Is your software available as a package that can be deployed without building it?,N,There is a need a for installation by WELS etd
Is your software available for free?,Y,
"Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",Y,Using git clone/downloadable as a zip file
"Is your software hosted in an established, third-party repository likeGitHub (https://github.com)",Y,"Yes, Link"
Is your documentation clearly available on your website or within your software?,Y,"On git hub, clear explanation is available"
"Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",N,No such documentation
"If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?",Y,
"Do you provide a comprehensive guide to all your software’s commands, functions and options?",N,
Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,N,No troubleshooting support
"If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",N,"No APIs, not applicable"
Do you store your documentation under revision control with your source code?,N,
"Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?",N,
Does your software describe how a user can get help with using your software?,N,Not available
"Does your website and documentation describe what support, if any, you provide to users and developers?",N,No support available
Does your project have an e-mail address or forum that is solely for supporting users?,N,No support available
Are e-mails to your support e-mail address received by more than one person?,N,No support available
Does your project have a ticketing system to manage bug reports and feature requests?,Y,A Kanban board can be found on Git.
"Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",Y,Can be found here
Is your software’s architecture and design modular?,Y,
Does your software use an accepted coding standard or convention?,Y,
"Does your software allow data to be imported and exported using open data formats? e.g. GIF, SVG, HTML, XML, tar, zip, CSV, JSON, NetCDF, or domain specific ones",Y,"Can be downloaded as .tar, .zip files"
"Does your software allow communications using open communications protocols? e.g. HTTP, FTP, XMPP, SOAP over HTTP,  or domain-specific ones",Y,
"Is your software cross-platform compatible? e.g. does it run under two or more of Windows, Unix/Linux and Mac OS X, or can be used from within two or more of Internet Explorer, Chrome, Firefox and Safari?",Y,Cross platform usage allowed
Does your software adhere to appropriate accessibility conventions or standards?,Y,
Does your documentation adhere to appropriate accessibility conventions or standards?,Y,
Is your source code stored in a repository under revision control?,Y,
Is each source code release a snapshot of the repository?,Y,
Are releases tagged in the repository?,Y,Can be found here
"Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully)",N,Only master branch is used. Network can be checked here.
Do you back-up your repository?,N,
Do you provide publicly-available instructions for building your software from the source code?,Y,README.md file has these details
"Can you build, or package, your software using an automated tool?",N,
Do you provide publicly-available instructions for deploying your software?,Y,
Does your documentation list all third-party dependencies?,Y,
Does your documentation list the version number for all third-party dependencies?,N,
"Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?",Y,
Can you download dependencies using a dependency management tool or package manager?,N,
Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,N,
Do you have an automated test suite for your software?,N,
Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,N,There are no such continuously running condition
"Do you use continuous integration, automatically running tests whenever changes are made to your source code?",N,
Are your test results publicly visible,N,
Are all manually-run tests documented?,Y,Docs folder has all these details
"Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software?",N,No documentaion available outside github
Does your website state how many projects and users are associated with your project?,N,These details are not available
Do you provide success stories on your website?,N,
Do you list your important partners and collaborators on your website?,Y,
Do you list your project's publications on your website or link to a resource where these are available?,N,
Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,N,
Can users subscribe to notifications to changes to your source code repository?,Y,
Not executed,N,
"Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",Y,CONTRIBUTING.md has these details
Do you have a contributions policy?,Y,CONTRIBUTING.md has these details
Is your contributions' policy publicly available?,Y,CONTRIBUTING.md has these details
Do contributors keep the copyright/IP of their contributions?,N,
Does your website and documentation clearly state the copyright owners of your software and documentation?,N,
Does each of your source code files include a copyright statement?,N,Copyright details not available
Does your website and documentation clearly state the licence of your software?,Y,
Is your software released under an open source licence?,Y,MIT liscence
Is your software released under an OSI-approved open-source licence?,Y,
Does each of your source code files include a licence header?,N,
Do you have a recommended citation for your software?,Y,Available in CITATIONS.md
"Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?",Y,
"Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",N,
"Do you make timely announcements of the deprecation of components, APIs, etc.?",N,
